Song Name,Artist Name,Polarity
Oh Child,Robin Schulz & Piso 21,-0.35
No smoke,Klondike Blonde,-0.2285
Someone you loved,Lewis Capaldi,-0.194
With You,Tyler Shaw,-0.16
Genius,"LSD ft. SIA, Diplo, Labrinth",-0.0857
Not Afraid,Eminem,-0.0724
Quite Miss Home,James Arthur,-0.0485
SWEATSHIRT,X LOVERS,-0.005
