Song Name,Artist Name,Polarity
Bad Guy,Billie Eilish,-0.784
All I Want,Kodaline,-0.652
Unsteady,X Ambassadors,-0.615
Banana Pancakes,Jack Johnson,-0.555
Black,Pearl Jam,-0.532
